,race,mean,min,max,std,age,perc_5,perc_95,sex
19,Non-Black,-0.06935266893978492,-9.0,7.0,0.4324889504265427,50,-0.9170310117758085,0.7783256738962387,Male
20,Black,-0.004698837678043537,-7.0,7.0,0.4121548739875184,55,-0.8125223906935796,0.8031247153374924,Female
21,Non-Black,-0.06648371476287587,-8.0,6.0,0.4547965245521843,55,-0.957884902885157,0.8249174733594054,Female
22,Black,-0.014738060126761238,-8.0,6.0,0.39499471626292915,55,-0.7889277040021023,0.7594515837485798,Male
23,Non-Black,-0.07139153132503344,-9.0,7.0,0.43870100245905064,55,-0.9312454961447726,0.7884624334947058,Male
24,Black,-0.0047836767823297545,-7.0,7.0,0.41772685382026303,60,-0.8235283102700452,0.8139609567053858,Female
25,Non-Black,-0.06821986366381914,-8.0,6.0,0.46089424468721624,60,-0.971572583250763,0.8351328559231247,Female
26,Black,-0.015328566874629992,-8.0,6.0,0.4037179042801715,60,-0.8066156592637662,0.7759585255145062,Male
27,Non-Black,-0.07445866905129071,-9.0,7.0,0.4481747801307603,60,-0.9528812381075809,0.8039639000049994,Male
28,Black,-0.0049168012451697935,-7.0,7.0,0.4257246919747797,65,-0.839337197515738,0.8295035950253984,Female
29,Non-Black,-0.07060223649346567,-8.0,6.0,0.46929946044334536,65,-0.9904291789624226,0.8492247059754913,Female
30,Black,-0.01604559403770276,-8.0,6.0,0.4164134505365086,65,-0.8322159570892596,0.800124769013854,Male
31,Non-Black,-0.0785669696851469,-9.0,7.0,0.4613251513834829,65,-0.9827642663967734,0.8256303270264796,Male
32,Black,-0.004810328141611484,-7.0,7.0,0.43564103537836374,70,-0.8586667574832044,0.8490461011999814,Female
33,Non-Black,-0.0736193692622366,-8.0,6.0,0.48057854102074377,70,-1.0155533096628944,0.8683145711384213,Female
34,Black,-0.01614649783962861,-8.0,6.0,0.43191523202088394,70,-0.8627003526005611,0.8304073569213039,Male
35,Non-Black,-0.08344144356645831,-9.0,7.0,0.47742495361415754,70,-1.019194352650207,0.8523114655172904,Male
36,Black,-0.003707679819852845,-7.0,7.0,0.44955284042296395,75,-0.8848312470488622,0.8774158874091564,Female
37,Non-Black,-0.07730215076216329,-8.0,6.0,0.4961616921576762,75,-1.0497790673912086,0.895174765866882,Female
38,Black,-0.014858163673884251,-8.0,6.0,0.4493666144047379,75,-0.8956167279071705,0.865900400559402,Male
39,Non-Black,-0.08784855902286622,-9.0,7.0,0.49540264944954443,75,-1.0588377519439733,0.8831406338982408,Male
40,Black,-0.0014078878608096892,-7.0,6.0,0.46491283832105046,80,-0.9126370509700685,0.9098212752484491,Female
41,Non-Black,-0.0813368390730628,-8.0,6.0,0.5140319521293236,80,-1.0888394652465372,0.9261657871004115,Female
42,Black,-0.011429587097472198,-8.0,6.0,0.4685808067918337,80,-0.9298479684094663,0.9069887942145218,Male
43,Non-Black,-0.09137970880517679,-9.0,7.0,0.5143074186128893,80,-1.0994222492864398,0.9166628316760862,Male
44,Black,0.0022241554774958144,-7.0,6.0,0.47910808312956843,85,-0.9368276874564583,0.9412759984114498,Female
45,Non-Black,-0.08543724246190071,-8.0,6.0,0.5317404628016383,85,-1.127648549553112,0.9567740646293104,Female
46,Black,-0.004587993608765122,-7.0,6.0,0.47308739194601074,85,-0.9318392818229462,0.9226632946054159,Male
47,Non-Black,-0.09205935659265972,-8.0,6.0,0.5246215633568342,85,-1.1203176207720547,0.9361989075867352,Male
48,Black,0.004751364078559646,-7.0,6.0,0.47873599289584057,90,-0.9335711819972878,0.9430739101544072,Female
49,Non-Black,-0.08724551649178545,-8.0,6.0,0.5354774480730187,90,-1.136781314714902,0.9622902817313311,Female
50,Black,-0.0015230388033916028,-7.0,6.0,0.46649257300935154,90,-0.9158484819017205,0.9128024042949374,Male
51,Non-Black,-0.09531633319079022,-8.0,4.0,0.5305718938323064,90,-1.1352372451021109,0.9446045787205304,Male
52,Black,-0.0036767382599199126,-6.0,5.0,0.4282018517660804,95,-0.8429523677214374,0.8355988912015977,Female
53,Non-Black,-0.08446126924038427,-8.0,5.0,0.5043825467924159,95,-1.0730510609535193,0.9041285224727509,Female
