,race,mean,min,max,std,age,perc_5,perc_95,sex
34,Black,-0.0406570063995887,-8.0,6.0,0.682708971416971,70,-1.3787665903768518,1.2974525775776742,Male
35,Non-Black,-0.20887131482676996,-9.0,7.0,0.7353106457704731,70,-1.6500801805368972,1.2323375508833572,Male
36,Black,-0.008177298703712308,-7.0,7.0,0.6667152458898984,75,-1.3149391806479132,1.2985845832404885,Female
37,Non-Black,-0.16971092940228033,-8.0,6.0,0.7227857461708169,75,-1.5863709918970814,1.2469491330925209,Female
38,Black,-0.03526272039200245,-8.0,6.0,0.6884824545022148,75,-1.3846883312163434,1.3141628904323386,Male
39,Non-Black,-0.20594013636888941,-9.0,7.0,0.7397618223380018,75,-1.655873308151373,1.243993035413594,Male
40,Black,-0.0029013539651837525,-7.0,6.0,0.6707175162130867,80,-1.3175076857428336,1.3117049778124663,Female
41,Non-Black,-0.16847521524275308,-8.0,6.0,0.7279275325744905,80,-1.5952131790887545,1.2582627486032483,Female
42,Black,-0.025423294435237234,-8.0,6.0,0.6941597407356271,80,-1.3859763862770664,1.3351297974065919,Male
43,Non-Black,-0.2003146569224523,-9.0,7.0,0.7445115237975618,80,-1.6595572435656734,1.2589279297207687,Male
44,Black,0.0045673233209804305,-7.0,6.0,0.6721561631638814,85,-1.312858756480227,1.3219934031221878,Female
45,Non-Black,-0.16745889003083247,-8.0,6.0,0.7335936450259897,85,-1.605302434281772,1.2703846542201072,Female
46,Black,-0.009498353300558445,-7.0,6.0,0.6826481086630525,85,-1.3474886462801412,1.3284919396790245,Male
47,Non-Black,-0.18928704914969163,-8.0,6.0,0.7383897374153603,85,-1.6365309344837977,1.2579568361844145,Male
48,Black,0.009088220268344492,-7.0,6.0,0.6601418480296594,90,-1.2847898018697879,1.3029662424064767,Female
49,Non-Black,-0.16340570232801466,-8.0,6.0,0.7244601554768187,90,-1.5833476070625794,1.25653620240655,Female
50,Black,-0.0026263650186610144,-7.0,6.0,0.6631849791148339,90,-1.3024689240837355,1.2972161940464133,Male
51,Non-Black,-0.18878029187307538,-8.0,4.0,0.7347321055085232,90,-1.628855218669781,1.25129463492363,Male
52,Black,-0.007056522042898064,-6.0,5.0,0.5932053842925912,95,-1.1697390752563765,1.1556260311705806,Female
53,Non-Black,-0.15675353093296202,-8.0,5.0,0.6789480596461316,95,-1.4874917278393798,1.1739846659734559,Female
54,Black,-0.01374620170742295,-6.0,5.0,0.5978366826385096,95,-1.185506099678902,1.158013696264056,Male
55,Non-Black,-0.18586896168795114,-8.0,3.0,0.6916853586223128,95,-1.5415722645876844,1.169834341211782,Male
56,Black,-0.06014773126978544,-6.0,0.0,0.33592894193543543,100,-0.7185684574632389,0.598272994923668,Female
57,Non-Black,-0.10736497545008183,-8.0,1.0,0.4559094224271775,100,-1.0009474434073498,0.7862174925071861,Female
58,Black,-0.045454545454545456,-6.0,1.0,0.3488278470876383,100,-0.7291571257463165,0.6382480348372257,Male
59,Non-Black,-0.1421608448415922,-6.0,0.0,0.5085623385158248,100,-1.1389430283326087,0.8546213386494244,Male
